,Fx,Fy,Fz,Tx,Ty,Tz,Failure_type
0,-2.066666666666667,-1.0,79.53333333333333,0.2,-4.266666666666667,0.2,normal
1,1.0666666666666667,-2.1333333333333333,79.33333333333333,0.5333333333333333,-2.2666666666666666,-0.26666666666666666,normal
2,-3.0,-1.4666666666666666,78.53333333333333,-1.1333333333333333,-10.066666666666666,-1.6,normal
3,-2.3333333333333335,-3.4,80.93333333333334,-1.3333333333333333,-13.0,-5.866666666666666,normal
4,-1.9333333333333333,-2.8666666666666667,78.6,-4.666666666666667,-14.8,-6.066666666666666,normal
5,-2.4,-3.2666666666666666,78.66666666666667,-6.2,-18.666666666666668,-6.733333333333333,normal
6,-2.8666666666666667,-2.6666666666666665,79.06666666666666,-10.4,-21.066666666666666,-8.2,normal
7,-2.6666666666666665,-2.8,78.33333333333333,-13.933333333333334,-22.6,-10.466666666666667,normal
8,-3.2,-3.0,79.2,-16.666666666666668,-23.666666666666668,-9.666666666666666,normal
9,-3.8666666666666667,-2.8666666666666667,80.13333333333334,-17.6,-24.666666666666668,-10.866666666666667,normal
10,-1.5333333333333334,-0.4,79.93333333333334,-22.733333333333334,-21.266666666666666,-8.466666666666667,normal
11,-1.6,-2.6,80.26666666666667,2.7333333333333334,-5.333333333333333,1.1333333333333333,normal
12,-3.2666666666666666,-0.7333333333333333,78.2,-3.0,-11.4,-2.8,normal
13,-1.9333333333333333,-2.6666666666666665,79.8,-2.2,-13.733333333333333,-5.4,normal
14,-3.066666666666667,-2.533333333333333,78.33333333333333,-4.6,-17.2,-5.866666666666666,normal
15,-2.533333333333333,-3.1333333333333333,78.46666666666667,-6.4,-17.6,-6.266666666666667,normal
16,-2.533333333333333,-3.466666666666667,78.86666666666666,-9.533333333333333,-20.6,-9.8,normal
17,-3.3333333333333335,-2.8666666666666667,79.2,-15.333333333333334,-22.933333333333334,-9.6,normal
18,-3.4,-1.6,79.2,-18.333333333333332,-23.066666666666666,-10.666666666666666,normal
19,-2.8,-2.066666666666667,79.2,-19.666666666666668,-22.6,-8.933333333333334,normal
20,24.2,-1.0666666666666667,86.46666666666667,-15.533333333333333,22.8,-8.533333333333333,collision_in_tool
21,11.0,3.2666666666666666,101.86666666666666,-37.46666666666667,44.6,-10.266666666666667,collision_in_tool
22,11.8,-12.333333333333334,82.46666666666667,16.0,8.8,-2.0,collision_in_tool
23,-8.533333333333333,12.4,86.06666666666666,-44.333333333333336,-29.466666666666665,-6.133333333333334,collision_in_tool
24,-7.733333333333333,11.4,80.0,-24.6,-18.733333333333334,-4.133333333333334,collision_in_tool
25,-0.13333333333333333,-4.133333333333334,81.8,-10.8,-12.666666666666666,-9.933333333333334,collision_in_tool
26,0.4,-7.933333333333334,80.33333333333333,-2.933333333333333,-15.4,-10.466666666666667,collision_in_tool
27,-4.066666666666666,-2.2666666666666666,81.4,-15.666666666666666,-20.8,-8.6,collision_in_tool
28,-2.3333333333333335,-1.2,82.86666666666666,-21.2,-19.6,-9.8,collision_in_tool
29,-7.066666666666666,-3.8,81.06666666666666,-3.6,-19.466666666666665,-7.266666666666667,collision_in_part
